City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-07-22 09:07:22,-23.1203,-134.9692,72.66,78,100,12.41
1,Punta Arenas,CL,2022-07-22 09:07:22,-53.15,-70.9167,33.91,86,20,17.27
2,Olafsvik,IS,2022-07-22 09:07:23,64.8945,-23.7142,51.84,93,100,6.6
3,Sitka,US,2022-07-22 09:07:23,57.0531,-135.33,53.49,87,100,3.44
4,Okhotsk,RU,2022-07-22 09:07:23,59.3833,143.3,59.59,85,100,7.4
5,Ushuaia,AR,2022-07-22 09:07:24,-54.8,-68.3,33.46,86,75,32.21
6,Ribeira Grande,PT,2022-07-22 09:07:24,38.5167,-28.7,72.0,88,40,2.3
7,Saldanha,ZA,2022-07-22 09:07:24,-33.0117,17.9442,58.15,73,100,6.06
8,Pandrup,DK,2022-07-22 09:07:25,57.2215,9.6757,64.31,88,75,11.5
9,Dharchula,IN,2022-07-22 09:07:25,29.85,80.5333,80.83,83,87,4.65
10,Castro,BR,2022-07-22 09:06:40,-24.7911,-50.0119,55.56,89,100,2.71
11,Sabha,LY,2022-07-22 09:07:25,27.0377,14.4283,87.28,27,0,8.43
12,Clyde River,CA,2022-07-22 09:03:17,70.4692,-68.5914,44.83,87,100,5.75
13,Isangel,VU,2022-07-22 09:07:26,-19.55,169.2667,75.96,86,15,9.1
14,Albany,US,2022-07-22 09:07:26,42.6001,-73.9662,68.52,89,0,4.03
15,Hilo,US,2022-07-22 09:07:26,19.7297,-155.09,79.29,95,0,5.75
16,Careiro Da Varzea,BR,2022-07-22 09:07:27,-3.2003,-59.8119,77.61,94,15,2.24
17,Beihai,CN,2022-07-22 09:07:27,21.4833,109.1,87.28,69,0,8.81
18,Bluff,NZ,2022-07-22 09:07:27,-46.6,168.3333,39.79,80,99,8.59
19,Kahului,US,2022-07-22 09:07:28,20.8947,-156.47,77.02,76,0,17.27
20,Camp Verde,US,2022-07-22 09:07:28,34.5636,-111.8543,86.43,42,74,1.32
21,Hofn,IS,2022-07-22 09:06:37,64.2539,-15.2082,52.93,79,32,1.97
22,East London,ZA,2022-07-22 09:05:42,-33.0153,27.9116,67.14,59,0,2.3
23,Hobart,AU,2022-07-22 09:07:28,-42.8794,147.3294,50.25,77,75,8.05
24,Salamiyah,SY,2022-07-22 09:07:29,35.0113,37.0532,92.86,22,0,14.79
25,Miranda,CO,2022-07-22 09:07:29,3.2499,-76.2281,66.33,88,98,3.78
26,Atuona,PF,2022-07-22 09:07:29,-9.8,-139.0333,77.11,71,0,14.41
27,Shingu,JP,2022-07-22 09:04:23,33.7333,135.9833,82.98,68,0,7.38
28,Zhezkazgan,KZ,2022-07-22 09:07:30,47.8043,67.7144,85.98,20,40,11.18
29,Oranjemund,NA,2022-07-22 09:07:30,-28.55,16.4333,61.59,64,0,8.84
30,Upernavik,GL,2022-07-22 09:07:30,72.7868,-56.1549,42.58,95,100,30.8
31,Moldava Nad Bodvou,SK,2022-07-22 09:07:30,48.6143,20.9996,93.31,23,0,5.75
32,Busselton,AU,2022-07-22 09:07:31,-33.65,115.3333,60.85,78,100,11.72
33,Saint-Philippe,RE,2022-07-22 09:07:31,-21.3585,55.7679,78.39,63,9,11.34
34,Lompoc,US,2022-07-22 09:07:31,34.6391,-120.4579,55.81,98,100,5.75
35,Kot Samaba,PK,2022-07-22 09:07:32,28.5522,70.4684,92.01,53,97,11.05
36,Butaritari,KI,2022-07-22 09:07:32,3.0707,172.7902,81.9,75,60,8.41
37,Kavieng,PG,2022-07-22 09:07:32,-2.5744,150.7967,82.54,77,100,8.93
38,Lata,PT,2022-07-22 09:07:32,40.1629,-8.3327,70.07,47,78,1.48
39,Buala,SB,2022-07-22 09:07:33,-8.145,159.5921,80.55,78,45,2.21
40,Garden City,US,2022-07-22 09:07:33,42.3256,-83.331,71.94,92,75,8.05
41,Puerto Ayora,EC,2022-07-22 09:07:33,-0.7393,-90.3518,66.54,99,76,1.01
42,Port Arthur,CN,2022-07-22 09:07:34,38.8,121.2667,82.62,79,83,1.88
